year,country,n_flights,n_flights_in_thousands
1990,US,683399,683.399
1991,US,701843,701.843
1992,US,784967,784.967
1993,US,820376,820.376
1994,US,844760,844.76
1995,US,913350,913.35
1996,US,943039,943.039
1997,US,983723,983.723
1998,US,1082878,1082.878
1999,US,1116846,1116.846
2000,US,1198699,1198.699
2001,US,1192116,1192.116
2002,US,1186081,1186.081
2003,US,1316455,1316.455
2004,US,1408786,1408.786
2005,US,1453344,1453.344
2006,US,1482477,1482.477
2007,US,1518663,1518.663
2008,US,1499268,1499.268
2009,US,1399579,1399.579
2010,US,1450964,1450.964
2011,US,1476679,1476.679
2012,US,1509105,1509.105
2013,US,1532238,1532.238
2014,US,1581395,1581.395
